"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"52","LQHPT","2","fc.LQHPT_rm.2",0.94525102739726,0.949,0.0269956855275768,0.0154947661578021,0.936188738095238,0.028024217514,0.6252,0.23791959426103,0.115238095238095,0.0770062151261339,0.0133333333333333,0.0281091347570523,3477.81724849489,34.835500453717,2.72617854244328e-08,37
"53","L","2.5","fc.L_rm.2.5",0.793225684931507,0.827,0.0220573760615974,0.01273974558727,0.791345404761905,0.0238441089537238,0.7171,0.117548524259369,0.101428571428571,0.0713067744653766,0.00666666666666667,0.0210818510677892,3917.88118030208,474.899432260908,7.53157249803486e-104,5
"54","Q","2.5","fc.Q_rm.2.5",0.785740068493151,0.889,0.0197054834688212,0.0109860546450262,0.784352928571429,0.0213864478160726,0.7594,0.103961745100996,0.101904761904762,0.0710643270139674,0.00666666666666667,0.0210818510677892,3919.55022217748,476.568474136311,3.26932294622922e-104,5
"55","H","2.5","fc.H_rm.2.5",0.93911301369863,0.964,0.0245634609646079,0.015728753513422,0.934690166666667,0.0271842004720432,0.7168,0.142160941658858,0.101428571428571,0.0713067744653766,0.0133333333333333,0.0281091347570523,3500.59162261116,57.6098745699915,3.0914469010792e-13,35
"56","P","2.5","fc.P_rm.2.5",0.866645547945205,0.968,0.0240019409388322,0.0238319488614111,0.86586269047619,0.0315966070089468,0.869,0.0626081286877174,0.101428571428571,0.0640078258001975,0.00666666666666667,0.0210818510677892,3743.0260096718,300.044261630632,7.017841081247e-66,6
"57","LQ","2.5","fc.LQ_rm.2.5",0.903455136986301,0.971,0.0240070584993886,0.0213410076836467,0.9033205,0.0304148029386771,0.857,0.0786567790396282,0.100952380952381,0.0781429716038872,0,0,3618.33112688404,175.349378842869,8.38210868166178e-39,8
"58","LP","2.5","fc.LP_rm.2.5",0.867822945205479,0.978,0.0240384596262516,0.0233777708109096,0.866736642857143,0.0311873518348024,0.8766,0.0610558942463561,0.101428571428571,0.0640078258001975,0.00666666666666667,0.0210818510677892,3736.81949444522,293.837746404051,1.56289998419962e-64,7
"59","QH","2.5","fc.QH_rm.2.5",0.939117465753425,0.966,0.0243458994993556,0.0157475745630603,0.935010404761905,0.0269813105771233,0.7655,0.111848359646244,0.101428571428571,0.0713067744653766,0.0133333333333333,0.0281091347570523,3501.04290569622,58.0611576550491,2.46698730488504e-13,35
"60","QP","2.5","fc.QP_rm.2.5",0.896070205479452,0.971,0.023244547247282,0.017619781824616,0.894120880952381,0.0275862275545878,0.8873,0.0731133822679998,0.101904761904762,0.05675352375895,0.00666666666666667,0.0210818510677892,3677.9870165521,235.005268510924,9.31625655098386e-52,10
"61","HP","2.5","fc.HP_rm.2.5",0.938753767123288,0.961,0.0250779446482271,0.0154793914110639,0.934347261904762,0.0275666313915808,0.761,0.116456954374662,0.108095238095238,0.0774710505184378,0.0133333333333333,0.0281091347570523,3514.1229021823,71.1411541411326,3.56354105012352e-16,38
