species,long,lat
B.nigroadspersus_green,-84.5939588,14.0317938
B.nigroadspersus_green,-83.75995644,9.839077719
B.nigroadspersus_green,-81.10604713,8.613818012
B.nigroadspersus_green,-83.09416421,9.946793611
B.nigroadspersus_green,-83.70569967,10.19656366
B.nigroadspersus_green,-82.78749939,9.625775581
B.nigroadspersus_green,-83.64594642,8.678038592
B.nigroadspersus_green,-83.6180957,8.63228579
B.nigroadspersus_green,-83.42383816,8.479773129
B.nigroadspersus_green,-83.033242,9.98964
B.nigroadspersus_green,-82.7396,9.650016667
B.nigroadspersus_green,-84.66110333,10.46107167
B.nigroadspersus_green,-84.26151333,9.928211667
B.nigroadspersus_green,-84.79707167,10.663755
B.nigroadspersus_green,-79.01989933,9.340397211
B.nigroadspersus_green,-78.98107874,9.292140695
B.nigroadspersus_green,-83.66490669,8.579881409
B.nigroadspersus_green,-83.49912704,10.43197284
B.nigroadspersus_green,-83.48327,8.45021
B.nigroadspersus_green,-84.98813667,10.71080333
B.nigroadspersus_green,-88.81417988,16.71043469
B.nigroadspersus_green,-89.09335229,16.70494039
B.nigroadspersus_green,-83.5418277,8.586133983
B.nigroadspersus_green,-93.59467558,16.89115597
B.nigroadspersus_green,-77.69655668,8.036287517
B.nigroadspersus_green,-86.73901704,15.3117527
B.nigroadspersus_green,-84.62556333,10.3877
B.nigroadspersus_green,-84.1281711,10.48515778
B.nigroadspersus_green,-83.49955436,10.48797073
B.nigroadspersus_green,-84.87256076,10.57993365
B.nigroadspersus_green,-84.58253667,10.405475
B.nigroadspersus_green,-85.63950434,10.87268424
B.nigroadspersus_green,-87.96851061,14.99763239
B.nigroadspersus_green,-87.85482899,14.94684009
B.nigroadspersus_green,-84.89480827,10.45743902
B.nigroadspersus_green,-83.19111957,9.924760922
B.nigroadspersus_green,-84.01065394,10.13110725
B.nigroadspersus_green,-83.60701684,10.1741285
B.nigroadspersus_green,-88.98599625,16.7332492
B.nigroadspersus_green,-83.0973805,8.59105
B.nigroadspersus_green,-83.88946531,10.54052542
B.nigroadspersus_green,-84.97945242,10.76724042
B.nigroadspersus_green,-83.23559897,9.201354
B.nigroadspersus_green,-83.73415695,9.263793842
B.nigroadspersus_green,-80.1879809,8.674444
B.nigroadspersus_green,-83.36215215,8.749633951
B.nigroadspersus_green,-84.90020605,10.62224544
B.nigroadspersus_green,-83.42602902,8.550166236
B.nigroadspersus_green,-87.22899696,15.50836888
B.nigroadspersus_green,-88.70774594,15.54647496
B.nigroadspersus_green,-82.70440357,9.612617362
B.nigroadspersus_green,-83.59618871,9.785606268
B.nigroadspersus_green,-85.28739382,10.74560348
B.nigroadspersus_green,-83.56737308,9.369667606
B.nigroadspersus_green,-83.05785657,9.729509717
B.nigroadspersus_green,-83.689505,9.779203333
B.nigroadspersus_green,-83.32147618,10.02927722
B.nigroadspersus_green,-85.08698844,10.72853462
